Album Name,Views,Estimated Revenue
be common full album,11503511,23007
Common – Finding Forever (Full Album),3481723,6963
Common,24374708,48749
Common &amp; Pete Rock,8649355,17298
Like Water for Chocolate,14882533,29765
Common,3322209,6644
Common,1609923,3219
Common &amp; Pete Rock | The Auditorium [Full Album Stream],3943301,7886
Common &amp; Pete Rock,2448112,4896
Common,669975,1339
Common,14069203,28138
common,318565,637
Common,45823,91
Common,12415822,24831
COMMON New Album 2021 / A Beautiful Revolution Pt.2 (Full Album),1022855,2045
Common new album,2199908,4399
Common,14290342,28580
Common,977121,1954
Common,546707,1093
Finding Forever,2582677,5165
Common,1909806,3819
Common,1109182,2218
Common,15724386,31448
Common,7338246,14676
Common &amp; Pete Rock,3892274,7784
Common,3322212,6644
Common,14093119,28186
Common,13560329,27120
Common,12779717,25559
Album: Can I Borrow A Dollar?,575110,1150
Common,12880123,25760
Common,15099062,30198
Common,5040650,10081
Common,26888600,53777
Common Market album: Tobacco Road,2503325,5006
Common,13501124,27002
A Day to Remember Common Courtesy [FULL ALBUM] + [BONUS TRACKS],6278093,12556
Common,12132051,24264
Common,1256243,2512
Common,15099061,30198
Common Courtesy (Album Stream),67453660,134907
Common &amp; Pete Rock The Auditorium Vol. 1,2919101,5838
Thursday,321495,642
Eagles common thread album,345269,690
Common Dreads Album (Official Audio),1154158,2308
Common,14093126,28186
Common,13852584,27705
Common,12329202,24658
Common,12625664,25251
Common,13618913,27237
Kendrick Lamar,201293262,402586
Kendrick Lamar,44038333,88076
Kendrick Lamar,37370333,74740
Kendrick Lamar,200180523,400361
good kid mAAd city,5293858,10587
Kendrick Lamar,675265648,1350531
Kendrick Lamar,344209961,688419
Kendrick Lamar,415720423,831440
Mr. Morale &amp; The Big Steppers,216353058,432706
Kendrick Lamar,14214891,28429
To Pimp A Butterfly (Kendrick Lamar) (Full Album) (Explicit),188813734,377627
All Kendrick Lamar&#39;s Albums,522342451,1044684
Kendrick Lamar,715385021,1430770
Damn (2017),204645109,409290
Kendrick Lamar,16994856,33989
Kendrick Lamar,22446853,44893
Damn. Album,69503288,139006
Kendrick Lamar,452192452,904384
Kendrick Lamar first album,24828364,49656
To Pimp a Butterfly full album,275400236,550800
Kendrick Lamar,13713697,27427
KENDRICK LAMAR New Album 2022,216353063,432706
Kendrick Lamar,200180581,400361
Kendrick Lamar,203412055,406824
Kendrick Lamar EP,380127,760
Kendrick Lamar,675250316,1350500
